City;Country;Year
Pescara;Italy;639,2
Rome;Italy;798,5
Tarvisio;Italy;1,417,0
Turin;Italy;981
Riga;Latvia;620,9
Vilnius;Lithuania;653,8
Luxembourg City;Luxembourg;896,9
Valletta;Malta;595,8
Chișinău;Moldova;548
Monaco;Monaco;743,6
Podgorica;Montenegro;1,659,3
Cetinje;Montenegro;3,303,1
Amsterdam;Netherlands;838,2
Skopje;North Macedonia;483
Bergen;Norway;2,412,8
Oslo;Norway;802,7
Tromsø;Norway;1,090,6
Warsaw;Poland;529
Aveiro;Portugal;944
Braga;Portugal;1,448,6
Faro;Portugal;511,6
Lisbon;Portugal;774
Porto;Portugal;1,237,0
Bacău;Romania;618,4
Bucharest;Romania;643
Constanța;Romania;429,9
Râmnicu Vâlcea;Romania;727,8
Sulina;Romania;240,5
Timișoara;Romania;593
Astrakhan;European Russia;231
Kaliningrad;Russia;816
Kazan;Russia;565
Moscow;Russia;714
Saint Petersburg;Russia;670
Saratov;Russia;466
Sochi;Russia;1,703,0
Vladikavkaz;Russia;955
Belgrade;Serbia;690,9
Niš;Serbia;580,3
Bratislava;Slovakia;565
Košice;Slovakia;613
Prešov;Slovakia;647,9
Bovec;Slovenia;2,603,0
Ljubljana;Slovenia;1,362,0
Almería;Spain;200
Barcelona;Spain;588
Bilbao;Spain;1,134,0
Madrid;Spain;423
Santiago de Compostela;Spain;1,787,0
Seville;Spain;539
Valencia;Spain;475
Zaragoza;Spain;322
Gothenburg;Sweden;912,2
Stockholm;Sweden;546,4
Zürich;Switzerland;1,134,0
Geneva;Switzerland;946
Sion;Switzerland;583
Lugano;Switzerland;1,566,6
Locarno;Switzerland;1,855,1
Camedo;Switzerland;2,284,7
Edirne;Turkey;601,9
Istanbul;Turkey;849,6
Kyiv;Ukraine;620,7
Belfast;United Kingdom;862,4
Capel Curig;United Kingdom;2,697,1
Cardiff;United Kingdom;1,203,5
Edinburgh;United Kingdom;704,3
Glasgow;United Kingdom;1,370,4
Liverpool;United Kingdom;824,3
London;United Kingdom;601,7
Gibraltar;United Kingdom (Overseas territories);740,8
Simferopol;Crimea;501
St. John's;Antigua and Barbuda;1049,4
Oranjestad;Aruba;451,1
Nassau;The Bahamas;1,426,0
Hamilton;Bermuda;1,453,8
Kingston;Jamaica;813
Port Antonio;Jamaica;3082
Calgary;Canada;445,4
Montreal;Canada;1,000,3
